symbol,funding_time,year,rate,z,side,r1,r4,r12
LTCUSDT,1767772800001,2026,-3.648e-05,-2.931801304577703,LONG,-0.012489654368022851,-0.01442506080256951,-0.029675768146116666
LTCUSDT,1768464000004,2026,-6.864e-05,-3.2090220872874724,LONG,0.011117107613656725,0.008085404243655631,-0.04700177228104202
LTCUSDT,1769702400000,2026,-7.431e-05,-2.003286221945918,LONG,-0.006683907611548131,-0.005008737799266915,-0.025764344903809668
LTCUSDT,1769875200009,2026,-0.00010308,-2.437423620816272,LONG,-0.030141123550853115,-0.02945372018987912,-0.007030494308224525
LTCUSDT,1770940800007,2026,6.529e-05,2.106366499298794,SHORT,-0.003396229679539831,-0.00037792895385596056,-0.010154280555014087
LTCUSDT,1771459200013,2026,-5.329e-05,-2.0129576947213947,LONG,0.008434123653610641,0.007126811860361372,-0.015363033313908642
LTCUSDT,1771660800000,2026,-7.203e-05,-2.30047968620462,LONG,-0.008138212924158955,-0.007049283596956815,-0.00795664233809505
LTCUSDT,1771747200004,2026,-0.00010907,-2.732120605425127,LONG,0.0016482010873407399,-0.009576500443208655,-0.02787766482561304
LTCUSDT,1772035200000,2026,0.0001,2.034539053524308,SHORT,-0.0034340693088454367,0.0006882312728643525,0.023317569403624294
LTCUSDT,1772697600000,2026,0.0001,2.0166289039392424,SHORT,-0.00424779399778704,0.008550105524913103,0.00801357685246992
LTCUSDT,1773187200000,2026,-0.00011837,-2.1029017861180854,LONG,-0.0003709198855583054,0.0011119348810600341,0.003147276503300273
LTCUSDT,1774166400007,2026,-8.335e-05,-2.003145286059704,LONG,-0.00018451886757773873,-0.00351169384080089,-0.012251870353394133
LTCUSDT,1774656000005,2026,-9.319e-05,-2.120822704039343,LONG,-0.003921207526423777,-0.0014919808810154162,0.0057604916330732964
LTCUSDT,1774857600005,2026,0.0001,2.0527301896164896,SHORT,0.0048157159191344005,0.0037023366985356656,0.01526747213078842
LTCUSDT,1776931200000,2026,-8.212e-05,-2.4976098565774074,LONG,-0.0014508526302712225,0.006862949097003128,0.010097453264662234
LTCUSDT,1777795200003,2026,-0.00010504,-2.6324345054965277,LONG,0.0021830097808862824,0.005267471992268512,0.010146852776361957
LTCUSDT,1778688000001,2026,-4.309e-05,-2.0070520073968887,LONG,0.0008794301859552974,0.0001759479198698944,0.001933726540861472
LTCUSDT,1778860800012,2026,-4.087e-05,-2.0705494790914147,LONG,0.00034861426185388186,-0.002443708669400766,-0.00928284098233477
