database,template_id,dimension,key,closed,open,wins,losses,net_pnl,net_pf,mean_margin_return_pct,median_holding_h,p90_holding_h
go_binance,59,symbol,DASHUSDT,2,0,1,1,30.02852231,13.86974057,75.07130578,3.73597222,6.57719444
go_binance,59,symbol,AGTUSDT,1,0,0,1,-1.23625509,0.00000000,-6.18127544,0.99166667,0.99166667
go_binance,59,symbol,TRUMPUSDT,1,0,0,1,-1.96971985,0.00000000,-9.84859925,1.69666667,1.69666667
go_binance,59,entry_day_Asia_Shanghai,2026-08-30,30,0,6,24,-8.79377510,0.79483007,-1.46562918,2.22805556,6.75019444
go_binance,59,entry_day_Asia_Shanghai,2026-08-31,93,0,29,64,-41.62711606,0.65197688,-2.23801699,1.75388889,15.46361111
go_binance,59,entry_day_Asia_Shanghai,2026-09-01,91,0,27,64,-38.70886917,0.68759569,-2.12686094,1.80694444,7.97805556
go_binance,59,entry_day_Asia_Shanghai,2026-09-02,91,0,19,72,-85.78654389,0.39061087,-4.71354637,1.66055556,8.04138889
go_binance,59,entry_day_Asia_Shanghai,2026-09-03,93,0,36,57,33.31918284,1.28438128,1.79135392,1.97388889,11.41444444
go_binance,59,entry_day_Asia_Shanghai,2026-09-04,104,1,23,81,-93.85915391,0.43826633,-4.51245932,1.25638889,10.61930556
go_binance,59,entry_day_Asia_Shanghai,2026-09-05,64,9,24,40,50.41739921,1.67524926,3.93885931,1.61194444,11.19880556
go_binance,59,stake_USDT,20,566,10,164,402,-185.03887609,0.76460228,-1.63461905,1.76680556,11.48388889
go_binance,60,symbol,MONUSDT,1,0,0,1,-1.23760959,0.00000000,-6.18804795,3.96527778,3.96527778
go_binance,60,symbol,USELESSUSDT,1,0,0,1,-1.56367816,0.00000000,-7.81839080,0.13083333,0.13083333
go_binance,60,symbol,UNIUSDT,1,0,1,0,8.71305600,—,43.56528000,3.36750000,3.36750000
go_binance,60,symbol,PEOPLEUSDT,1,0,0,1,-1.60610114,0.00000000,-8.03050571,3.46833333,3.46833333
go_binance,60,symbol,XMRUSDT,1,0,0,1,-1.56272504,0.00000000,-7.81362522,5.88388889,5.88388889
go_binance,60,symbol,IOTXUSDT,1,0,0,1,-1.57701542,0.00000000,-7.88507709,0.38555556,0.38555556
go_binance,60,symbol,BERAUSDT,1,0,0,1,-1.60529485,0.00000000,-8.02647425,5.14000000,5.14000000
go_binance,60,symbol,BATUSDT,1,0,0,1,-1.56301138,0.00000000,-7.81505690,2.19555556,2.19555556
go_binance,60,symbol,BANDUSDT,1,0,0,1,-1.62410066,0.00000000,-8.12050330,0.56166667,0.56166667
go_binance,60,symbol,SOPHUSDT,1,0,0,1,-1.55196483,0.00000000,-7.75982415,0.70444444,0.70444444
go_binance,60,symbol,GUNUSDT,1,0,0,1,-1.58331126,0.00000000,-7.91655628,1.33000000,1.33000000
go_binance,60,symbol,DASHUSDT,1,0,0,1,-1.75102453,0.00000000,-8.75512267,0.05055556,0.05055556
go_binance,60,symbol,ZECUSDT,0,1,0,0,0.00000000,—,—,—,—
go_binance,60,symbol,PTBUSDT,1,0,0,1,-1.79950955,0.00000000,-8.99754777,0.42861111,0.42861111
go_binance,60,symbol,MUSDT,1,0,0,1,-1.55986600,0.00000000,-7.79933000,0.17805556,0.17805556
go_binance,60,symbol,FLOWUSDT,0,1,0,0,0.00000000,—,—,—,—
go_binance,60,symbol,FETUSDT,0,1,0,0,0.00000000,—,—,—,—
go_binance,60,symbol,TIAUSDT,1,0,0,1,-1.78675805,0.00000000,-8.93379025,0.07722222,0.07722222
go_binance,60,symbol,HUMAUSDT,0,1,0,0,0.00000000,—,—,—,—
go_binance,60,symbol,MUBARAKUSDT,0,1,0,0,0.00000000,—,—,—,—
go_binance,60,entry_day_Asia_Shanghai,2026-09-06,15,5,1,14,-13.65891447,0.38946306,-4.55297149,0.70444444,4.67011111
go_binance,60,stake_USDT,20,15,5,1,14,-13.65891447,0.38946306,-4.55297149,0.70444444,4.67011111
go_bn_oracle1,36,symbol,LTCUSDT,3,0,2,1,6.14620826,5.45268697,10.24368043,2.23916667,3.44783333
go_bn_oracle1,36,symbol,LINKUSDT,3,0,2,1,2.64038926,2.33042116,4.40064877,2.70194444,8.97905556
go_bn_oracle1,36,symbol,BATUSDT,4,0,0,4,-7.28162477,0.00000000,-9.10203096,2.80666667,5.70508333
go_bn_oracle1,36,symbol,DOGEUSDT,3,0,3,0,5.42371920,—,9.03953200,8.99861111,10.16194444
go_bn_oracle1,36,symbol,DOTUSDT,2,0,0,2,-3.78467352,0.00000000,-9.46168379,1.06791667,1.51758333
go_bn_oracle1,36,symbol,UNIUSDT,2,0,0,2,-3.87448750,0.00000000,-9.68621875,1.12222222,1.45777778
go_bn_oracle1,36,symbol,LPTUSDT,3,0,2,1,1.50558295,1.75339278,2.50930492,2.81305556,5.60016667
